classification,skew,kurtosis
Extreme Fear,60.061788358973125,5705.5556825019485
Extreme Greed,26.168860278266443,923.9125604425313
Fear,71.33720147915636,8755.90244190219
Greed,-15.786313512471416,4129.381537549052
Neutral,32.30119955233242,2908.841778777607
